序號,孳清/噴藥,區域,里別,日期,星期,集合時間,集合地點,鎖匠,"警員
(安全維護)",刑警(V8),噴工數,支援人力,經度,緯度,中午休息地點
750,噴藥,南區,明興,11月6日,五,08:15,鎮海宮(德興路151號),4,3,1,"17/國軍
2/本局(備)",38,120.182 ,22.941 ,明興里活動中心(德興路88號)
751,噴藥,南區,明興,11月6日,五,13:15,鎮海宮(德興路151號),4,3,1,"17/國軍
2/本局(備)",38,120.182 ,22.941 ,明興里活動中心(德興路88號)
752,噴藥,永康區,北灣-A(大灣路),11月6日,五,08:15,大灣路37巷39號旁空地,1,1,1,"4/國軍
1/本局(備)",10,120.270 ,23.013 ,永康衛生所
753,噴藥,永康區,北灣-B(信義街),11月6日,五,08:15,大灣路87號(聖若瑟天主堂),1,1,1,"4/國軍
1/本局(備)",10,120.270 ,23.013 ,永康衛生所
754,噴藥,永康區,南灣,11月6日,五,13:15,大灣路764巷84號旁停車場,1,1,1,"6/國軍
1/本局(備)",14,120.265 ,23.003 ,永康衛生所
755,噴藥,永康區,永康,11月6日,五,13:15,中山北路104巷,1,1,1,"4/國軍
1/本局(備)",10,120.256 ,23.027 ,永康衛生所
756,噴藥,安南區,安東,11月6日,五,08:15,安和路一段478巷2弄120號(安東里活動中心),1,1,1,"10/國軍
1/本局(備)",23,120.129 ,23.065 ,新順里活動中心(慶安路220巷5號)
757,噴藥,安南區,安和,11月6日,五,08:15,安和路一段96巷54號(安和里活動中心),1,1,1,"7/國軍
1/本局(備)",17,120.219 ,23.057 ,新順里活動中心(慶安路220巷5號)
758,噴藥,安南區,公塭,11月6日,五,13:15,安興街181巷107弄101號,1,1,1,"4/國軍
1/本局(備)",11,120.162 ,23.071 ,新順里活動中心(慶安路220巷5號)
759,噴藥,安南區,國安,11月6日,五,13:15,國安街156巷119弄6號,1,1,1,"2/國軍
6/本局",19,120.185 ,23.022 ,新順里活動中心(慶安路220巷5號)
760,噴藥,安南區,新順,11月6日,五,13:15,安和路二段285巷18弄38號前,1,1,1,"13/國軍
2/本局(備)",31,120.220 ,23.044 ,新順里活動中心(慶安路220巷5號)
761,噴藥,安平區,怡平里,11月6日,五,08:15,華平路672巷2號對面停車場,1,0,1,"2/國軍
1/本局(備)",5,120.177 ,22.994 ,安平區衛生所
762,噴藥,安平區,建平里,11月6日,五,08:15,建平十七街39號,1,1,0,"2/國軍
1/本局(備)",5,120.183 ,22.994 ,安平區衛生所
763,噴藥,安平區,億載-A,11月6日,五,13:15,平豐路391巷14號旁空地,1,1,0,"3/國軍
1/本局(備)",7,120.161 ,23.001 ,安平區衛生所
764,噴藥,安平區,億載-B,11月6日,五,13:15,光州八街49號,1,0,1,"4/國軍
1/本局(備)",9,120.161 ,23.001 ,安平區衛生所
765,噴藥,玉井區,玉田里,11月6日,五,08:15,"玉井基督教會
民權路27號",1,1,1,"9/國軍
1/本局(備)",18,120.460 ,23.120 ,玉井區公所二樓會議室
766,噴藥,玉井區,玉田里,11月6日,五,13:15,"玉井區公所
中正路27號",1,1,1,"9/國軍
1/本局(備)",18,120.460 ,23.120 ,玉井區公所二樓會議室
767,噴藥,歸仁區,許厝里,11月6日,五,13:15,歸仁公有市場停車場(大智街7號對面),2,1,1,"23/PCO
2/本局(備)",52,120.300 ,22.966 ,歸仁區公所三樓
768,噴藥,東區,東門,11月7日,六,08:15,新樓街29號前空地,1,0,1,"6/國軍
1/本局(備)",15,120.225 ,22.984 ,衛生所
769,噴藥,東區,崇信,11月7日,六,08:15,崇學路142巷10弄25號旁邊停車場,1,0,1,"7/國軍
1/本局(備)",17,120.227 ,22.981 ,衛生所
770,噴藥,東區,崇德,11月7日,六,08:15,崇明十四街53號(立委服務處)前空地,4,3,1,"17/國軍
2/本局(備)",39,120.228 ,22.971 ,衛生所
771,噴藥,東區,莊敬,11月7日,六,08:15,"小東路248之1號前
(阿進仔炭烤海鮮)",1,0,1,"5/國軍
1/本局(備)",13,120.233 ,22.996 ,衛生所
772,噴藥,東區,東智,11月7日,六,08:15,崇德路1023號旁空地,2,1,1,"11/國軍
2/本局(備)",27,120.228 ,22.963 ,衛生所
773,噴藥,東區,復興,11月7日,六,13:15,富農街一段188巷93號前,2,1,1,"10/國軍
1/本局(備)",23,120.245 ,22.999 ,衛生所
774,噴藥,東區,裕農,11月7日,六,13:15,裕農路379號(裕農活動中心),2,1,1,"11/國軍
1/本局(備)",27,120.236 ,22.989 ,衛生所
775,噴藥,東區,大學,11月7日,六,13:15,大學路18巷20號(SPOT-LIFE餐廳),1,0,1,"5/國軍
1/本局(備)",13,120.220 ,22.996 ,衛生所
776,噴藥,東區,和平,11月7日,六,13:15,自由路二段185號,1,0,1,"4/國軍
1/本局(備)",11,120.197 ,22.997 ,衛生所
777,噴藥,東區,富裕,11月7日,六,13:15,裕農路288巷20弄31號對面空地,3,2,1,"16/國軍
1/本局(備)",37,120.227 ,22.985 ,衛生所
778,噴藥,北區,開元里,11月7日,六,13:15,"聖功女中大門口
(北園街87巷64號)",1,1,1,4/偉聖,11,120.222 ,23.013 ,
779,噴藥,南區,新興A,11月7日,六,08:15,三官路與仁慈街口停車場,2,1,1,"3/偉聖
5/本局",18,120.191 ,22.976 ,再興里活動中心(金華路二段236號)及明亮里活動中心(新都路396號)
780,噴藥,南區,再興,11月7日,六,08:15,再興里活動中心(金華路二段236號),4,3,1,"17/國軍
2/本局(備)",38,120.193 ,22.980 ,再興里活動中心(金華路二段236號)及明亮里活動中心(新都路396號)
781,噴藥,南區,南華,11月7日,六,08:15,中華南路二段302巷巷口公園,3,2,1,"3/國軍
5/偉聖",18,120.191 ,22.990 ,再興里活動中心(金華路二段236號)及明亮里活動中心(新都路396號)
782,噴藥,南區,大忠,11月7日,六,08:15,公英教會停車場(大同路620巷13號),2,1,1,"7/國軍
1/本局(備)",16,120.210 ,22.970 ,再興里活動中心(金華路二段236號)及明亮里活動中心(新都路396號)
783,噴藥,南區,佛壇,11月7日,六,13:15,灣裡路518號前,2,1,1,"11/國軍
2/本局(備)",26,120.178 ,22.920 ,再興里活動中心(金華路二段236號)及明亮里活動中心(新都路396號)
784,噴藥,南區,新興B,11月7日,六,13:15,夏林路176號前,3,2,1,"8/中群
3/偉聖",26,120.191 ,22.976 ,再興里活動中心(金華路二段236號)及明亮里活動中心(新都路396號)
785,噴藥,南區,明亮,11月7日,六,13:15,明亮里活動中心(新都路396號),1,1,1,"6/國軍
1/本局(備)",14,120.193 ,22.969 ,再興里活動中心(金華路二段236號)及明亮里活動中心(新都路396號)
786,噴藥,南區,大成,11月7日,六,13:15,大成里活動中心ㄧ樓廣場(新興東路256號),2,1,1,"7/國軍
1/本局(備)",16,120.194 ,22.975 ,再興里活動中心(金華路二段236號)及明亮里活動中心(新都路396號)
787,噴藥,安南,佃西,11月7日,六,08:15,海佃路四段411號,1,1,1,"4/國軍
1/本局(備)",11,120.136 ,23.059 ,理想大安里活動中心(大安街135號)
788,噴藥,安南,原佃,11月7日,六,08:15,本原街一段160號,1,1,1,"4/國軍
1/本局(備)",11,120.196 ,23.054 ,理想大安里活動中心(大安街135號)
789,噴藥,安南,理想,11月7日,六,08:15,大安街461巷18號,1,1,1,"8/國軍
1/本局(備)",18,120.191 ,23.037 ,理想大安里活動中心(大安街135號)
790,噴藥,安南,海佃,11月7日,六,13:15,國安街56巷121弄路口,1,1,1,"8/國軍
1/本局(備)",19,120.191 ,23.025 ,理想大安里活動中心(大安街135號)
791,噴藥,安南,溪北,11月7日,六,13:15,安和路一段29號(錢橙山診所),1,1,1,"7/國軍
1/本局(備)",17,120.213 ,23.026 ,理想大安里活動中心(大安街135號)
792,噴藥,七股區,大埕里,11月7日,六,08:15,七股區大埕里29號前空地(孔雀山莊),1,1,1,"7/國軍
1/本局(備)",4,120.144 ,23.145 ,七股區區公所
793,噴藥,七股區,大埕里,11月7日,六,13:15,七股區大埕里30號前空地(孔雀山莊),1,1,1,"7/國軍
1/本局(備)",4,120.144 ,23.145 ,七股區區公所
794,噴藥,關廟區,香洋里a,11月7日,六,08:15,"香洋里大富街343巷16號前空地
",1,1,1,10/中群,20,120.330 ,22.959 ,關廟區公所3樓
795,噴藥,關廟區,香洋里b,11月7日,六,08:15,"香洋里中央路77號旁
",1,1,1,7/偉聖,14,120.330 ,22.959 ,關廟區公所3樓
796,噴藥,歸仁區,新厝里,11月7日,六,08:15,中正南路一段85巷12號前空地,1,1,1,"3/國軍
1/本局(備)",7,120.292 ,22.962 ,歸仁區公所3樓
797,噴藥,歸仁區,新厝里,11月7日,六,08:15,中正三街46巷19號前空地,1,1,1,"4/國軍
1/本局(備)",9,120.292 ,22.962 ,歸仁區公所3樓
798,噴藥,歸仁區,歸仁里,11月7日,六,13:15,大通路57號旁停車場,1,1,1,"3/國軍
1/本局(備)",7,120.310 ,22.967 ,歸仁區公所3樓
799,噴藥,歸仁區,歸仁里,11月6日,六,13:15,大通一街37號對面空地,1,1,1,"4/國軍
1/本局(備)",9,120.310 ,22.967 ,歸仁區公所3樓
800,噴藥,東區,"崇誨+
新東",11月8日,日,08:15,衛國街114巷28號(衛國里活動中心),10,9,1,32/國軍,75,120.226 ,22.990 ,衛生局
801,噴藥,東區,大學,11月8日,日,08:15,大學路1號(成功大學)勝利校區-勝六舍前面,0,0,0,3/中群,9,120.220 ,22.996 ,衛生局
802,噴藥,東區,和平,11月8日,日,13:15,仁和路95號,1,0,1,5/國軍,13,120.197 ,22.997 ,衛生局
803,噴藥,東區,崇成,11月8日,日,13:15,崇德路659之14號旁邊空地,1,0,1,7/國軍,17,120.229 ,22.971 ,衛生局
804,噴藥,東區,東明,11月8日,日,13:15,東寧路201巷51號旁邊空地,1,0,1,8/國軍,19,120.227 ,22.992 ,衛生局
805,噴藥,北區,賢北里,11月8日,日,08:15,"賢北里活動中心
(賢北街108號)",2,1,1,12/國軍,29,120.181 ,23.007 ,賢北里活動中心(賢北街108號)
806,噴藥,北區,實踐+永祥里,11月8日,日,08:15,"永祥公園
(實踐街98號對面)",1,1,1,9/國軍,21,120.220 ,23.016 ,賢北里活動中心(賢北街108號)
807,噴藥,北區,勝安里,11月8日,日,08:15,"勝安里活動中心
(開元路73巷21號)",2,2,1,7/國軍,17,120.218 ,23.007 ,賢北里活動中心(賢北街108號)
808,噴藥,北區,國姓里,11月8日,日,08:15,公園路407號前,1,1,1,1/偉聖,3,120.209 ,23.008 ,賢北里活動中心(賢北街108號)
809,噴藥,北區,成德里,11月8日,日,13:15,西門路四段171巷20弄17-1號旁巷口,1,1,1,7/國軍,17,120.204 ,23.013 ,賢北里活動中心(賢北街108號)
810,噴藥,北區,中樓里,11月8日,日,13:15,"成大醫護宿舍門口
(東豐路166號)",1,1,1,7/國軍,17,120.216 ,23.003 ,賢北里活動中心(賢北街108號)
811,噴藥,北區,大港里,11月8日,日,13:15,"大港里活動中心
(大興街226巷50號)",2,1,1,16/國軍,37,120.183 ,23.010 ,賢北里活動中心(賢北街108號)
812,噴藥,中西區,"建國里+
福安里",11月8日,日,08:15,"友愛街117號
友愛市場後方",2,1,1,23/國軍,54,120.200 ,22.991 ,建國里活動中心
813,噴藥,中西區,建國里,11月8日,日,13:15,"中正路88號
彰化銀行",3,2,1,23/國軍,54,120.200 ,22.993 ,建國里活動中心
814,噴藥,安平區,華平里,11月8日,日,08:15,育平九街142巷140號旁空地,1,1,0,2/偉聖,4,120.174 ,22.995 ,安平區衛生所
815,噴藥,永康區,六合里,11月8日,日,08:15,中華二路340巷20號警衛室旁停車場,1,1,1,10/國軍,23,120.230 ,23.011 ,六合里活動中心(中華二路358巷43號)
816,噴藥,永康區,鹽行里,11月8日,日,08:15,中正路852號旁巷口(八方雲集旁),1,1,1,6/偉聖,15,120.237 ,23.041 ,六合里活動中心(中華二路358巷43號)
817,噴藥,永康區,埔園里,11月8日,日,08:15,龍中街651巷16號門口,1,1,1,6/國軍,15,120.258 ,23.034 ,六合里活動中心(中華二路358巷43號)
818,噴藥,永康區,二王-A,11月8日,日,13:15,永二街395號(二王廟),1,1,1,3/國軍,9,120.247 ,23.021 ,六合里活動中心(中華二路358巷43號)
819,噴藥,永康區,二王-B,11月8日,日,13:15,忠孝路450巷18號,1,1,1,9/國軍,21,120.247 ,23.021 ,六合里活動中心(中華二路358巷43號)
820,噴藥,永康區,尚頂里,11月8日,日,13:15,南台街54巷18弄2號前,1,1,1,"6/偉聖
1/本局(備)",15,120.225 ,23.026 ,六合里活動中心(中華二路358巷43號)
821,噴藥,仁德區,仁義里,11月8日,日,13:15,仁義三街16號前,2,1,1,14/國軍,28,120.266 ,22.970 ,仁義里運動公園管理中心
822,噴藥,仁德區,二行里,11月8日,日,13:15,清王宮前(二行一路及行大街交叉口),1,1,1,4/偉聖,8,120.221 ,22.921 ,仁義里運動公園管理中心
823,噴藥,玉井區,望明里,11月8日,日,08:15,"倒松朝鳳宮
望明里108-1號",1,1,1,4/中群,8,120.444 ,23.104 ,玉井區二樓會議室
824,噴藥,玉井區,中正里,11月8日,日,08:15,"福德宮
中正里大成路471巷6號",1,1,1,3/中群,6,120.465 ,23.145 ,玉井區二樓會議室
825,噴藥,玉井區,玉井里,11月8日,日,13:15,"玉井區公所
中正路27號",1,1,1,9/中群,18,120.460 ,23.126 ,玉井區二樓會議室
826,噴藥,新化區,協興,11月8日,日,13:15,忠孝路271號,1,1,1,"3/中群
2/偉聖",本所,120.299 ,23.039 ,
